"Rep","Expressing.HA","Reassortant.Percent"
"1",0.113,6.66666666666667
"2",0.079,14.2857142857143
"3",0.06,14.1741071428571
"4",0.228,7.99197635135135
"5",0.109,11.1111111111111
"6",0.234,1.78571428571429
"7",0.151,0
"8",0.018,0
"9",0.048,8.33333333333333
"10",0.144,13.4712837837838
"11",0.333,3.90114379084967
"12",0.095,10
"13",0.184,2.38095238095238
"1",0.568,22.8191605520615
"2",0.569,23.3920581655481
"3",0.396,34.9514563106796
"4",1.301,18.090463955913
"5",0.644,26.7239735053405
"6",1.295,18.7500257201646
"7",0.764,25.1564814814815
"8",0.135,43.9655172413793
"9",0.301,26.5481651376147
"10",0.911,18.7508510348584
"11",1.709,14.2424846066754
"12",0.505,20.5312841850289
"13",1.057,22.3094914826686
"1",1.322,32.690205914761
"2",1.309,38.331896834778
"3",0.92,35.0126210709064
"4",2.838,28.2626841800293
"5",1.555,37.3380708643385
"6",2.744,30.1348156382879
"7",1.817,38.724840870143
"8",0.356,43.2301819363223
"9",0.72,41.9547720797721
"10",1.95,28.3388119730162
"11",3.697,20.6810923691484
"12",1.257,38.0652898035371
"13",2.258,30.6080497199433
"1",3.258,43.1857894804421
"2",3.368,49.9012912680374
"3",2.507,52.4662476722533
"4",6.45,41.7020806907641
"5",3.714,46.6005495985536
"6",6.379,42.1634325048839
"7",4.335,46.9141420626496
"8",0.991,57.5121787644726
"9",1.903,51.7686149691358
"10",4.802,45.4149761191154
"11",7.945,33.4347114442126
"12",3.32,47.9215359864308
"13",5.17,44.2618910311094
"1",5.909,51.2742046960081
"2",5.913,54.1034858933386
"3",4.462,56.015113719139
"4",10.803,48.7994609587859
"5",6.366,52.2127431397585
"6",10.598,48.0760366232128
"7",7.484,53.338278715302
"8",1.888,61.5191260465446
"9",3.508,55.1173352416374
"10",8.127,51.9808760396294
"11",12.598,40.8083769407555
"12",5.848,54.0705037971157
"13",8.772,50.5463216990797
"1",8.792,55.7519801862938
"2",8.929,58.367682486505
"3",6.889,60.2198023619287
"4",15.391,54.6035409886817
"5",9.429,56.7512289748343
"6",15.045,53.2266461983393
"7",11.209,58.7522701485572
"8",3.085,64.7711242595509
"9",5.498,60.759925815362
"10",12.001,56.8390229141067
"11",17.35,46.9474949242359
"12",8.765,57.8441708172584
"13",12.842,54.9068876407889
"1",12.065,58.4730116742169
"2",11.948,62.1249896309126
"3",9.683,64.1258797765102
"4",20.316,57.1978791728627
"5",12.911,59.7160773167525
"6",19.832,57.0314019040984
"7",15.018,63.200353452405
"8",4.63,69.3794292968992
"9",7.693,62.7585599822205
"10",16.182,59.2540578571209
"11",22.499,50.6544530070367
"12",12.11,61.5046062032792
"13",17.1,59.4668493893023
"1",15.654,62.1463372387975
"2",15.931,65.1832553920774
"3",12.704,66.4817141125166
"4",25.539,60.8228435478004
"5",16.751,63.8682162951946
"6",24.732,60.2621179908226
"7",19.354,65.7177296032467
"8",6.137,70.6705187133112
"9",10.171,66.9229904574685
"10",20.41,62.433034502839
"11",27.335,55.3465134695928
"12",15.702,64.3513459408485
"13",21.657,62.4176465027676
"1",19.5,64.9721145999896
"2",19.665,67.8931163103631
"3",16.033,69.4653959113136
"4",30.404,63.593576473072
"5",20.769,66.262057675573
"6",29.742,63.1494094559497
"7",23.553,67.3225564045611
"8",8.138,72.3141149783814
"9",12.896,68.9286433549209
"10",24.979,65.6038645594667
"11",32.265,58.2029710326384
"12",19.438,67.3204524052063
"13",26.198,64.810916050541
"1",23.154,67.4867898957455
"2",23.404,69.4787816191443
"3",19.501,71.3157356494749
"4",35.118,66.1257763507374
"5",24.493,67.7459258158188
"6",34.719,65.5664743332488
"7",27.753,70.4693792711563
"8",10.109,73.7710664866179
"9",15.929,70.7830843176147
"10",29.545,67.0830231374943
"11",37.047,60.8786867534515
"12",23.23,69.9964725309809
"13",30.565,67.0867386613122
"1",27.142,69.230400263595
"2",27.377,70.9698133310244
"3",23.03,73.1383754698925
"4",39.782,68.2498257792815
"5",28.304,70.5789801238913
"6",39.39,67.580087436009
"7",31.996,71.5617047590818
"8",12.34,75.6094081121731
"9",19.033,72.0846525033249
"10",33.94,69.389757330319
"11",41.828,63.3211496993527
"12",27.076,71.1008550080347
"13",35.139,68.7306648189022
"1",30.941,70.9515132886842
"2",31.288,72.9531423590445
"3",26.416,74.2902477105051
"4",44.677,69.5537705403719
"5",32.205,72.2189530971632
"6",43.89,69.6103241782199
"7",36.366,73.9375024837375
"8",14.848,78.2780901170243
"9",21.772,74.1122974415785
"10",38.179,71.0555563001038
"11",45.851,66.1765080737749
"12",31.015,72.7513047739671
"13",39.365,70.7534421163187
"1",49.406,78.1990601879621
"2",50.036,79.4848933805442
"3",44.263,80.6641947566985
"4",64.245,77.0830887167333
"5",50.749,78.8222746228386
"6",63.368,77.2907077808136
"7",55.654,80.2254033812211
"8",27.868,82.7212754468715
"9",37.583,80.1636326540393
"10",57.849,77.9569797485733
"11",64.35,74.570162496927
"12",49.525,79.5312831807125
"13",58.654,77.6916368311117
"1",64.676,83.1203202811405
"2",65.085,83.9399687850419
"3",59.76,84.841643828777
"4",77.864,82.0416435720129
"5",65.845,83.3071914051399
"6",77.427,81.9817825193587
"7",70.262,84.4086451089801
"8",40.853,86.5507335333949
"9",51.899,84.519154711562
"10",72.712,82.72349299499
"11",77.079,80.7579607394265
"12",64.688,83.6812553914661
"13",72.999,82.6762336394418
"1",97.146,94.292575462269
"2",97.435,94.3869825080056
"3",96.42,94.4592107233324
"4",99.191,94.2476336990485
"5",97.203,94.3142006663975
"6",99.128,94.2714802790634
"7",98.28,94.4203773608379
"8",87.637,94.745696317577
"9",92.386,94.4968204405654
"10",98.703,94.2694195174567
"11",98.522,94.1466418033473
"12",97.383,94.3575713200571
"13",98.493,94.2537184495955
"1",99.974,97.5524090811191
"2",99.973,97.5446270622541
"3",99.957,97.5543968157586
"4",99.999,97.5405265300879
"5",99.964,97.5393250389001
"6",99.996,97.5455560996934
"7",99.987,97.5295910589965
"8",99.387,97.561230238244
"9",99.663,97.5365338039861
"10",99.991,97.537978451981
"11",99.986,97.5480376747895
"12",99.968,97.5404054914298
"13",99.984,97.5524181117751
"Pp_1",0.2,0
"Pp_1",1.977,0.401492159838139
"Pp_1",9.512,2.39548131897488
"Pp_1",18.111,4.92113984597356
"Pp_1",32.9,9.97476558376066
"Pp_1",45.153,14.6132953950988
"Pp_1",54.986,19.230137966619
"Pp_1",63.226,23.9138736435717
"Pp_1",69.989,28.4546597784086
"Pp_1",75.449,32.5462023844543
"Pp_1",79.888,36.5575005838938
"Pp_1",83.582,40.4483646060828
"Pp_1",86.635,44.2627933846231
"Pp_1",95.082,60.3937521224562
"Pp_1",98.181,72.3064414046674
"Pp_1",99.996,94.0468976903568
"Pp_1",100,97.5665199044911
"Fonville_Marshall_Experiments",76.59,95
"Fonville_Marshall_Experiments",71.76,90.47619048
"Fonville_Marshall_Experiments",67.08,76.19047619
"Fonville_Marshall_Experiments",73.87,95.23809524
"Fonville_Marshall_Experiments",77.17,95.23809524
"Fonville_Marshall_Experiments",72.6,85.71428571
"Fonville_Marshall_Experiments",50.96,77.27272727
"Fonville_Marshall_Experiments",51.27,76.19047619
"Fonville_Marshall_Experiments",53.83,85.71428571
"Fonville_Marshall_Experiments",45.62,66.66666667
"Fonville_Marshall_Experiments",42.26,57.14285714
"Fonville_Marshall_Experiments",44.16,61.9047619
"Fonville_Marshall_Experiments",37.75,80.95238095
"Fonville_Marshall_Experiments",31.98,80.95238095
"Fonville_Marshall_Experiments",41.23,71.42857143
"Fonville_Marshall_Experiments",15.79,57.14285714
"Fonville_Marshall_Experiments",15.67,66.66666667
"Fonville_Marshall_Experiments",16.18,52.38095238
"Fonville_Marshall_Experiments",2.726,38.0952381
"Fonville_Marshall_Experiments",3.938,28.57142857
"Fonville_Marshall_Experiments",4.192,0
