"Pp","Virus_D","Spread_Frac","Sim","r0"
0.575,0.0663259253620378,"Diffusion Only",1,1.17609125905568
0.575,0.0663259253620378,"Diffusion Only",2,1.27875360095283
0.575,0.0663259253620378,"Diffusion Only",3,1.27875360095283
0.575,0.0663259253620378,"Diffusion Only",4,1.20411998265592
0.575,0.0663259253620378,"Diffusion Only",5,1.25527250510331
0.575,0.0663259253620378,"Diffusion Only",6,1.20411998265592
0.575,0.0663259253620378,"Diffusion Only",7,1.23044892137827
0.575,0.0663259253620378,"Diffusion Only",8,1.04139268515823
0.575,0.0663259253620378,"Diffusion Only",9,1.14612803567824
0.575,0.0663259253620378,"Diffusion Only",10,1.17609125905568
0.575,-0.933674074637962,"Diffusion Only",1,0.698970004336019
0.575,-0.933674074637962,"Diffusion Only",2,0.602059991327962
0.575,-0.933674074637962,"Diffusion Only",3,0.954242509439325
0.575,-0.933674074637962,"Diffusion Only",4,0.602059991327962
0.575,-0.933674074637962,"Diffusion Only",5,0.301029995663981
0.575,-0.933674074637962,"Diffusion Only",6,0.698970004336019
0.575,-0.933674074637962,"Diffusion Only",7,0.301029995663981
0.575,-0.933674074637962,"Diffusion Only",8,0.602059991327962
0.575,-0.933674074637962,"Diffusion Only",9,0.954242509439325
0.575,-0.933674074637962,"Diffusion Only",10,0.778151250383644
0.575,1.06632592536204,"Diffusion Only",1,0.954242509439325
0.575,1.06632592536204,"Diffusion Only",2,1.14612803567824
0.575,1.06632592536204,"Diffusion Only",3,1.36172783601759
0.575,1.06632592536204,"Diffusion Only",4,1.20411998265592
0.575,1.06632592536204,"Diffusion Only",5,1.68124123737559
0.575,1.06632592536204,"Diffusion Only",6,1.53147891704226
0.575,1.06632592536204,"Diffusion Only",7,1.04139268515823
0.575,1.06632592536204,"Diffusion Only",8,1.34242268082221
0.575,1.06632592536204,"Diffusion Only",9,0.954242509439325
0.575,1.06632592536204,"Diffusion Only",10,0.903089986991944
0.575,2.06632592536204,"Diffusion Only",1,0.301029995663981
0.575,2.06632592536204,"Diffusion Only",2,0.602059991327962
0.575,2.06632592536204,"Diffusion Only",3,0.301029995663981
0.575,2.06632592536204,"Diffusion Only",4,0.301029995663981
0.575,2.06632592536204,"Diffusion Only",5,0.602059991327962
0.575,2.06632592536204,"Diffusion Only",6,0.602059991327962
0.575,2.06632592536204,"Diffusion Only",7,0
0.575,2.06632592536204,"Diffusion Only",8,0.477121254719662
0.575,2.06632592536204,"Diffusion Only",9,0.602059991327962
0.575,2.06632592536204,"Diffusion Only",10,0
0.575,3.06632592536204,"Diffusion Only",1,0.301029995663981
0.575,3.06632592536204,"Diffusion Only",2,0.698970004336019
0.575,3.06632592536204,"Diffusion Only",3,0
0.575,3.06632592536204,"Diffusion Only",4,0.301029995663981
0.575,3.06632592536204,"Diffusion Only",5,0.301029995663981
0.575,3.06632592536204,"Diffusion Only",6,0.477121254719662
0.575,3.06632592536204,"Diffusion Only",7,0
0.575,3.06632592536204,"Diffusion Only",8,0
0.575,3.06632592536204,"Diffusion Only",9,0
0.575,3.06632592536204,"Diffusion Only",10,0.698970004336019
0.575,0.367355921026019,"Diffusion Only",1,1.20411998265592
0.575,0.367355921026019,"Diffusion Only",2,1.25527250510331
0.575,0.367355921026019,"Diffusion Only",3,1.30102999566398
0.575,0.367355921026019,"Diffusion Only",4,1.43136376415899
0.575,0.367355921026019,"Diffusion Only",5,1.46239799789896
0.575,0.367355921026019,"Diffusion Only",6,1.41497334797082
0.575,0.367355921026019,"Diffusion Only",7,1.20411998265592
0.575,0.367355921026019,"Diffusion Only",8,1.14612803567824
0.575,0.367355921026019,"Diffusion Only",9,1.14612803567824
0.575,0.367355921026019,"Diffusion Only",10,1.25527250510331
0.575,-0.632644078973981,"Diffusion Only",1,0.845098040014257
0.575,-0.632644078973981,"Diffusion Only",2,0.698970004336019
0.575,-0.632644078973981,"Diffusion Only",3,1
0.575,-0.632644078973981,"Diffusion Only",4,0.954242509439325
0.575,-0.632644078973981,"Diffusion Only",5,0.698970004336019
0.575,-0.632644078973981,"Diffusion Only",6,0.778151250383644
0.575,-0.632644078973981,"Diffusion Only",7,0.845098040014257
0.575,-0.632644078973981,"Diffusion Only",8,0.954242509439325
0.575,-0.632644078973981,"Diffusion Only",9,0.698970004336019
0.575,-0.632644078973981,"Diffusion Only",10,1.07918124604762
0.575,1.36735592102602,"Diffusion Only",1,1.11394335230684
0.575,1.36735592102602,"Diffusion Only",2,0
0.575,1.36735592102602,"Diffusion Only",3,0.698970004336019
0.575,1.36735592102602,"Diffusion Only",4,0.602059991327962
0.575,1.36735592102602,"Diffusion Only",5,1.36172783601759
0.575,1.36735592102602,"Diffusion Only",6,1
0.575,1.36735592102602,"Diffusion Only",7,1.07918124604762
0.575,1.36735592102602,"Diffusion Only",8,1.23044892137827
0.575,1.36735592102602,"Diffusion Only",9,0.698970004336019
0.575,1.36735592102602,"Diffusion Only",10,0.954242509439325
0.575,2.36735592102602,"Diffusion Only",1,0.301029995663981
0.575,2.36735592102602,"Diffusion Only",2,0.301029995663981
0.575,2.36735592102602,"Diffusion Only",3,0.477121254719662
0.575,2.36735592102602,"Diffusion Only",4,0
0.575,2.36735592102602,"Diffusion Only",5,0.778151250383644
0.575,2.36735592102602,"Diffusion Only",6,0.301029995663981
0.575,2.36735592102602,"Diffusion Only",7,0
0.575,2.36735592102602,"Diffusion Only",8,0
0.575,2.36735592102602,"Diffusion Only",9,0.301029995663981
0.575,2.36735592102602,"Diffusion Only",10,0.778151250383644
0.575,3.36735592102602,"Diffusion Only",1,0.477121254719662
0.575,3.36735592102602,"Diffusion Only",2,0.301029995663981
0.575,3.36735592102602,"Diffusion Only",3,0
0.575,3.36735592102602,"Diffusion Only",4,0.301029995663981
0.575,3.36735592102602,"Diffusion Only",5,0.301029995663981
0.575,3.36735592102602,"Diffusion Only",6,0.477121254719662
0.575,3.36735592102602,"Diffusion Only",7,0
0.575,3.36735592102602,"Diffusion Only",8,0.301029995663981
0.575,3.36735592102602,"Diffusion Only",9,0.301029995663981
0.575,3.36735592102602,"Diffusion Only",10,0.477121254719662
0.575,0.5434471800817,"Diffusion Only",1,1.30102999566398
0.575,0.5434471800817,"Diffusion Only",2,1.27875360095283
0.575,0.5434471800817,"Diffusion Only",3,1.36172783601759
0.575,0.5434471800817,"Diffusion Only",4,1.17609125905568
0.575,0.5434471800817,"Diffusion Only",5,1.46239799789896
0.575,0.5434471800817,"Diffusion Only",6,1.47712125471966
0.575,0.5434471800817,"Diffusion Only",7,1.25527250510331
0.575,0.5434471800817,"Diffusion Only",8,1.38021124171161
0.575,0.5434471800817,"Diffusion Only",9,1.32221929473392
0.575,0.5434471800817,"Diffusion Only",10,1.39794000867204
0.575,-0.4565528199183,"Diffusion Only",1,0.903089986991944
0.575,-0.4565528199183,"Diffusion Only",2,1
0.575,-0.4565528199183,"Diffusion Only",3,0.778151250383644
0.575,-0.4565528199183,"Diffusion Only",4,0.845098040014257
0.575,-0.4565528199183,"Diffusion Only",5,1
0.575,-0.4565528199183,"Diffusion Only",6,0.954242509439325
0.575,-0.4565528199183,"Diffusion Only",7,0.903089986991944
0.575,-0.4565528199183,"Diffusion Only",8,0.954242509439325
0.575,-0.4565528199183,"Diffusion Only",9,0.845098040014257
0.575,-0.4565528199183,"Diffusion Only",10,0.954242509439325
0.575,1.5434471800817,"Diffusion Only",1,0.301029995663981
0.575,1.5434471800817,"Diffusion Only",2,1.11394335230684
0.575,1.5434471800817,"Diffusion Only",3,0.698970004336019
0.575,1.5434471800817,"Diffusion Only",4,0.954242509439325
0.575,1.5434471800817,"Diffusion Only",5,1.17609125905568
0.575,1.5434471800817,"Diffusion Only",6,1.11394335230684
0.575,1.5434471800817,"Diffusion Only",7,0.477121254719662
0.575,1.5434471800817,"Diffusion Only",8,1
0.575,1.5434471800817,"Diffusion Only",9,0.698970004336019
0.575,1.5434471800817,"Diffusion Only",10,0.477121254719662
0.575,2.5434471800817,"Diffusion Only",1,0.477121254719662
0.575,2.5434471800817,"Diffusion Only",2,0.301029995663981
0.575,2.5434471800817,"Diffusion Only",3,0
0.575,2.5434471800817,"Diffusion Only",4,0.301029995663981
0.575,2.5434471800817,"Diffusion Only",5,0.602059991327962
0.575,2.5434471800817,"Diffusion Only",6,0.301029995663981
0.575,2.5434471800817,"Diffusion Only",7,0.477121254719662
0.575,2.5434471800817,"Diffusion Only",8,0.301029995663981
0.575,2.5434471800817,"Diffusion Only",9,0
0.575,2.5434471800817,"Diffusion Only",10,0.477121254719662
0.575,3.5434471800817,"Diffusion Only",1,0.301029995663981
0.575,3.5434471800817,"Diffusion Only",2,0.301029995663981
0.575,3.5434471800817,"Diffusion Only",3,0.301029995663981
0.575,3.5434471800817,"Diffusion Only",4,0.301029995663981
0.575,3.5434471800817,"Diffusion Only",5,0.301029995663981
0.575,3.5434471800817,"Diffusion Only",6,0.477121254719662
0.575,3.5434471800817,"Diffusion Only",7,0
0.575,3.5434471800817,"Diffusion Only",8,0
0.575,3.5434471800817,"Diffusion Only",9,0
0.575,3.5434471800817,"Diffusion Only",10,0.477121254719662
0.575,0.66838591669,"Diffusion Only",1,1.25527250510331
0.575,0.66838591669,"Diffusion Only",2,1.23044892137827
0.575,0.66838591669,"Diffusion Only",3,1.34242268082221
0.575,0.66838591669,"Diffusion Only",4,1.23044892137827
0.575,0.66838591669,"Diffusion Only",5,1.56820172406699
0.575,0.66838591669,"Diffusion Only",6,1.51851393987789
0.575,0.66838591669,"Diffusion Only",7,1.34242268082221
0.575,0.66838591669,"Diffusion Only",8,1.38021124171161
0.575,0.66838591669,"Diffusion Only",9,1.04139268515823
0.575,0.66838591669,"Diffusion Only",10,1.46239799789896
0.575,-0.33161408331,"Diffusion Only",1,0.845098040014257
0.575,-0.33161408331,"Diffusion Only",2,1.11394335230684
0.575,-0.33161408331,"Diffusion Only",3,0.903089986991944
0.575,-0.33161408331,"Diffusion Only",4,1.14612803567824
0.575,-0.33161408331,"Diffusion Only",5,1.11394335230684
0.575,-0.33161408331,"Diffusion Only",6,0.903089986991944
0.575,-0.33161408331,"Diffusion Only",7,1
0.575,-0.33161408331,"Diffusion Only",8,0.903089986991944
0.575,-0.33161408331,"Diffusion Only",9,0.954242509439325
0.575,-0.33161408331,"Diffusion Only",10,1.07918124604762
0.575,1.66838591669,"Diffusion Only",1,0.845098040014257
0.575,1.66838591669,"Diffusion Only",2,0.602059991327962
0.575,1.66838591669,"Diffusion Only",3,0.698970004336019
0.575,1.66838591669,"Diffusion Only",4,0.698970004336019
0.575,1.66838591669,"Diffusion Only",5,1.30102999566398
0.575,1.66838591669,"Diffusion Only",6,0.778151250383644
0.575,1.66838591669,"Diffusion Only",7,0.903089986991944
0.575,1.66838591669,"Diffusion Only",8,0.477121254719662
0.575,1.66838591669,"Diffusion Only",9,0
0.575,1.66838591669,"Diffusion Only",10,0.602059991327962
0.575,2.66838591669,"Diffusion Only",1,0.602059991327962
0.575,2.66838591669,"Diffusion Only",2,0.602059991327962
0.575,2.66838591669,"Diffusion Only",3,0
0.575,2.66838591669,"Diffusion Only",4,0.301029995663981
0.575,2.66838591669,"Diffusion Only",5,0.301029995663981
0.575,2.66838591669,"Diffusion Only",6,0.477121254719662
0.575,2.66838591669,"Diffusion Only",7,0
0.575,2.66838591669,"Diffusion Only",8,0.477121254719662
0.575,2.66838591669,"Diffusion Only",9,0
0.575,2.66838591669,"Diffusion Only",10,0.477121254719662
0.575,3.66838591669,"Diffusion Only",1,0.698970004336019
0.575,3.66838591669,"Diffusion Only",2,0.301029995663981
0.575,3.66838591669,"Diffusion Only",3,0.301029995663981
0.575,3.66838591669,"Diffusion Only",4,0
0.575,3.66838591669,"Diffusion Only",5,0.698970004336019
0.575,3.66838591669,"Diffusion Only",6,0.301029995663981
0.575,3.66838591669,"Diffusion Only",7,0
0.575,3.66838591669,"Diffusion Only",8,0
0.575,3.66838591669,"Diffusion Only",9,0.301029995663981
0.575,3.66838591669,"Diffusion Only",10,0.778151250383644
0.575,0.765295929698057,"Diffusion Only",1,1.27875360095283
0.575,0.765295929698057,"Diffusion Only",2,1.49136169383427
0.575,0.765295929698057,"Diffusion Only",3,1.34242268082221
0.575,0.765295929698057,"Diffusion Only",4,1.11394335230684
0.575,0.765295929698057,"Diffusion Only",5,1.36172783601759
0.575,0.765295929698057,"Diffusion Only",6,1.50514997831991
0.575,0.765295929698057,"Diffusion Only",7,1.55630250076729
0.575,0.765295929698057,"Diffusion Only",8,1.32221929473392
0.575,0.765295929698057,"Diffusion Only",9,1.23044892137827
0.575,0.765295929698057,"Diffusion Only",10,1.30102999566398
0.575,-0.234704070301943,"Diffusion Only",1,1.17609125905568
0.575,-0.234704070301943,"Diffusion Only",2,1
0.575,-0.234704070301943,"Diffusion Only",3,1.11394335230684
0.575,-0.234704070301943,"Diffusion Only",4,1.04139268515823
0.575,-0.234704070301943,"Diffusion Only",5,1.25527250510331
0.575,-0.234704070301943,"Diffusion Only",6,1.04139268515823
0.575,-0.234704070301943,"Diffusion Only",7,0.903089986991944
0.575,-0.234704070301943,"Diffusion Only",8,0.954242509439325
0.575,-0.234704070301943,"Diffusion Only",9,1.14612803567824
0.575,-0.234704070301943,"Diffusion Only",10,1.07918124604762
0.575,1.76529592969806,"Diffusion Only",1,0.954242509439325
0.575,1.76529592969806,"Diffusion Only",2,0.477121254719662
0.575,1.76529592969806,"Diffusion Only",3,0.698970004336019
0.575,1.76529592969806,"Diffusion Only",4,0.602059991327962
0.575,1.76529592969806,"Diffusion Only",5,0.778151250383644
0.575,1.76529592969806,"Diffusion Only",6,0.778151250383644
0.575,1.76529592969806,"Diffusion Only",7,0.301029995663981
0.575,1.76529592969806,"Diffusion Only",8,0.698970004336019
0.575,1.76529592969806,"Diffusion Only",9,0.602059991327962
0.575,1.76529592969806,"Diffusion Only",10,0.602059991327962
0.575,2.76529592969806,"Diffusion Only",1,0.301029995663981
0.575,2.76529592969806,"Diffusion Only",2,0.698970004336019
0.575,2.76529592969806,"Diffusion Only",3,0
0.575,2.76529592969806,"Diffusion Only",4,0.301029995663981
0.575,2.76529592969806,"Diffusion Only",5,0.301029995663981
0.575,2.76529592969806,"Diffusion Only",6,0.602059991327962
0.575,2.76529592969806,"Diffusion Only",7,0
0.575,2.76529592969806,"Diffusion Only",8,0.477121254719662
0.575,2.76529592969806,"Diffusion Only",9,0
0.575,2.76529592969806,"Diffusion Only",10,0.477121254719662
0.575,3.76529592969806,"Diffusion Only",1,0.477121254719662
0.575,3.76529592969806,"Diffusion Only",2,0.301029995663981
0.575,3.76529592969806,"Diffusion Only",3,0
0.575,3.76529592969806,"Diffusion Only",4,0
