"Pp","Virus_D","Spread_Frac","Sim","r0"
0.575,3.76529592969806,"Diffusion Only",5,0.301029995663981
0.575,3.76529592969806,"Diffusion Only",6,0.301029995663981
0.575,3.76529592969806,"Diffusion Only",7,0.477121254719662
0.575,3.76529592969806,"Diffusion Only",8,0
0.575,3.76529592969806,"Diffusion Only",9,0.301029995663981
0.575,3.76529592969806,"Diffusion Only",10,0.698970004336019
1,0.0663259253620378,"Diffusion Only",1,2.01283722470517
1,0.0663259253620378,"Diffusion Only",2,2.08278537031645
1,0.0663259253620378,"Diffusion Only",3,2.06818586174616
1,0.0663259253620378,"Diffusion Only",4,2.08278537031645
1,0.0663259253620378,"Diffusion Only",5,2.02118929906994
1,0.0663259253620378,"Diffusion Only",6,2.12385164096709
1,0.0663259253620378,"Diffusion Only",7,2.01283722470517
1,0.0663259253620378,"Diffusion Only",8,2.06069784035361
1,0.0663259253620378,"Diffusion Only",9,2.06818586174616
1,0.0663259253620378,"Diffusion Only",10,2.07918124604762
1,-0.933674074637962,"Diffusion Only",1,1.51851393987789
1,-0.933674074637962,"Diffusion Only",2,1.25527250510331
1,-0.933674074637962,"Diffusion Only",3,1.36172783601759
1,-0.933674074637962,"Diffusion Only",4,1.39794000867204
1,-0.933674074637962,"Diffusion Only",5,1.30102999566398
1,-0.933674074637962,"Diffusion Only",6,1.20411998265592
1,-0.933674074637962,"Diffusion Only",7,1.11394335230684
1,-0.933674074637962,"Diffusion Only",8,1.36172783601759
1,-0.933674074637962,"Diffusion Only",9,1.20411998265592
1,-0.933674074637962,"Diffusion Only",10,1.23044892137827
1,1.06632592536204,"Diffusion Only",1,2.99782308074573
1,1.06632592536204,"Diffusion Only",2,3.03822263836872
1,1.06632592536204,"Diffusion Only",3,2.99694924849538
1,1.06632592536204,"Diffusion Only",4,2.9532763366673
1,1.06632592536204,"Diffusion Only",5,2.97405090279288
1,1.06632592536204,"Diffusion Only",6,3.00774777800074
1,1.06632592536204,"Diffusion Only",7,2.90363251608424
1,1.06632592536204,"Diffusion Only",8,2.94250410616808
1,1.06632592536204,"Diffusion Only",9,2.9415114326344
1,1.06632592536204,"Diffusion Only",10,3.00860017176192
1,2.06632592536204,"Diffusion Only",1,3.77121990194953
1,2.06632592536204,"Diffusion Only",2,3.76477371691104
1,2.06632592536204,"Diffusion Only",3,3.74927240829842
1,2.06632592536204,"Diffusion Only",4,3.7388598020722
1,2.06632592536204,"Diffusion Only",5,3.75572244490346
1,2.06632592536204,"Diffusion Only",6,3.75388933145983
1,2.06632592536204,"Diffusion Only",7,3.68295692630121
1,2.06632592536204,"Diffusion Only",8,3.71642073384655
1,2.06632592536204,"Diffusion Only",9,3.73150818359603
1,2.06632592536204,"Diffusion Only",10,3.73949323078162
1,3.06632592536204,"Diffusion Only",1,3.79330135361311
1,3.06632592536204,"Diffusion Only",2,3.77480883031071
1,3.06632592536204,"Diffusion Only",3,3.74764481932825
1,3.06632592536204,"Diffusion Only",4,3.79906471935101
1,3.06632592536204,"Diffusion Only",5,3.80929030117632
1,3.06632592536204,"Diffusion Only",6,3.79865064544527
1,3.06632592536204,"Diffusion Only",7,3.81888541459401
1,3.06632592536204,"Diffusion Only",8,3.80570470443386
1,3.06632592536204,"Diffusion Only",9,3.80908813134635
1,3.06632592536204,"Diffusion Only",10,3.80325221143046
1,0.367355921026019,"Diffusion Only",1,2.3654879848909
1,0.367355921026019,"Diffusion Only",2,2.41830129131975
1,0.367355921026019,"Diffusion Only",3,2.35218251811136
1,0.367355921026019,"Diffusion Only",4,2.37291200297011
1,0.367355921026019,"Diffusion Only",5,2.28780172993023
1,0.367355921026019,"Diffusion Only",6,2.3096301674259
1,0.367355921026019,"Diffusion Only",7,2.28103336724773
1,0.367355921026019,"Diffusion Only",8,2.32633586092875
1,0.367355921026019,"Diffusion Only",9,2.35602585719312
1,0.367355921026019,"Diffusion Only",10,2.32014628611105
1,-0.632644078973981,"Diffusion Only",1,1.6232492903979
1,-0.632644078973981,"Diffusion Only",2,1.57978359661681
1,-0.632644078973981,"Diffusion Only",3,1.51851393987789
1,-0.632644078973981,"Diffusion Only",4,1.55630250076729
1,-0.632644078973981,"Diffusion Only",5,1.38021124171161
1,-0.632644078973981,"Diffusion Only",6,1.50514997831991
1,-0.632644078973981,"Diffusion Only",7,1.43136376415899
1,-0.632644078973981,"Diffusion Only",8,1.43136376415899
1,-0.632644078973981,"Diffusion Only",9,1.66275783168157
1,-0.632644078973981,"Diffusion Only",10,1.54406804435028
1,1.36735592102602,"Diffusion Only",1,3.29025726939452
1,1.36735592102602,"Diffusion Only",2,3.28307497473547
1,1.36735592102602,"Diffusion Only",3,3.25017594808393
1,1.36735592102602,"Diffusion Only",4,3.24501887073775
1,1.36735592102602,"Diffusion Only",5,3.19368102954128
1,1.36735592102602,"Diffusion Only",6,3.28239550474253
1,1.36735592102602,"Diffusion Only",7,3.17983892802319
1,1.36735592102602,"Diffusion Only",8,3.21298618473667
1,1.36735592102602,"Diffusion Only",9,3.21958452621425
1,1.36735592102602,"Diffusion Only",10,3.28847280059978
1,2.36735592102602,"Diffusion Only",1,3.78426058256608
1,2.36735592102602,"Diffusion Only",2,3.78182715293243
1,2.36735592102602,"Diffusion Only",3,3.78611228371983
1,2.36735592102602,"Diffusion Only",4,3.79588001734408
1,2.36735592102602,"Diffusion Only",5,3.80332052357875
1,2.36735592102602,"Diffusion Only",6,3.80719666071095
1,2.36735592102602,"Diffusion Only",7,3.79865064544527
1,2.36735592102602,"Diffusion Only",8,3.80037335489135
1,2.36735592102602,"Diffusion Only",9,3.80468451490694
1,2.36735592102602,"Diffusion Only",10,3.80760266991649
1,3.36735592102602,"Diffusion Only",1,3.78511619502192
1,3.36735592102602,"Diffusion Only",2,3.77793404883778
1,3.36735592102602,"Diffusion Only",3,3.75754785346924
1,3.36735592102602,"Diffusion Only",4,3.78597012513201
1,3.36735592102602,"Diffusion Only",5,3.80692577688373
1,3.36735592102602,"Diffusion Only",6,3.81557774832427
1,3.36735592102602,"Diffusion Only",7,3.81802784185926
1,3.36735592102602,"Diffusion Only",8,3.78767296468749
1,3.36735592102602,"Diffusion Only",9,3.7976829349149
1,3.36735592102602,"Diffusion Only",10,3.78632543439007
1,0.5434471800817,"Diffusion Only",1,2.55630250076729
1,0.5434471800817,"Diffusion Only",2,2.49276038902684
1,0.5434471800817,"Diffusion Only",3,2.54654266347813
1,0.5434471800817,"Diffusion Only",4,2.56348108539441
1,0.5434471800817,"Diffusion Only",5,2.47421626407626
1,0.5434471800817,"Diffusion Only",6,2.59879050676312
1,0.5434471800817,"Diffusion Only",7,2.47712125471966
1,0.5434471800817,"Diffusion Only",8,2.50242711998443
1,0.5434471800817,"Diffusion Only",9,2.41329976408125
1,0.5434471800817,"Diffusion Only",10,2.52374646681156
1,-0.4565528199183,"Diffusion Only",1,1.66275783168157
1,-0.4565528199183,"Diffusion Only",2,1.67209785793572
1,-0.4565528199183,"Diffusion Only",3,1.6232492903979
1,-0.4565528199183,"Diffusion Only",4,1.60205999132796
1,-0.4565528199183,"Diffusion Only",5,1.54406804435028
1,-0.4565528199183,"Diffusion Only",6,1.63346845557959
1,-0.4565528199183,"Diffusion Only",7,1.63346845557959
1,-0.4565528199183,"Diffusion Only",8,1.61278385671974
1,-0.4565528199183,"Diffusion Only",9,1.69019608002851
1,-0.4565528199183,"Diffusion Only",10,1.46239799789896
1,1.5434471800817,"Diffusion Only",1,3.37584643630916
1,1.5434471800817,"Diffusion Only",2,3.44279322593977
1,1.5434471800817,"Diffusion Only",3,3.45591024038274
1,1.5434471800817,"Diffusion Only",4,3.36884450682582
1,1.5434471800817,"Diffusion Only",5,3.3392526340327
1,1.5434471800817,"Diffusion Only",6,3.39880773020326
1,1.5434471800817,"Diffusion Only",7,3.33485568961729
1,1.5434471800817,"Diffusion Only",8,3.35198945543563
1,1.5434471800817,"Diffusion Only",9,3.37235958252432
1,1.5434471800817,"Diffusion Only",10,3.37548071461857
1,2.5434471800817,"Diffusion Only",1,3.80516090159943
1,2.5434471800817,"Diffusion Only",2,3.77800646142351
1,2.5434471800817,"Diffusion Only",3,3.76819396163307
1,2.5434471800817,"Diffusion Only",4,3.79947839883798
1,2.5434471800817,"Diffusion Only",5,3.80488874462239
1,2.5434471800817,"Diffusion Only",6,3.80543288813214
1,2.5434471800817,"Diffusion Only",7,3.81157500587059
1,2.5434471800817,"Diffusion Only",8,3.80868350912897
1,2.5434471800817,"Diffusion Only",9,3.80516090159943
1,2.5434471800817,"Diffusion Only",10,3.8139144200486
1,3.5434471800817,"Diffusion Only",1,3.79678241170131
1,3.5434471800817,"Diffusion Only",2,3.77966862720715
1,3.5434471800817,"Diffusion Only",3,3.76648720623969
1,3.5434471800817,"Diffusion Only",4,3.79837437668156
1,3.5434471800817,"Diffusion Only",5,3.80304721049113
1,3.5434471800817,"Diffusion Only",6,3.8161749904288
1,3.5434471800817,"Diffusion Only",7,3.81197694433695
1,3.5434471800817,"Diffusion Only",8,3.80222623769107
1,3.5434471800817,"Diffusion Only",9,3.8065869343278
1,3.5434471800817,"Diffusion Only",10,3.80085449150356
1,0.66838591669,"Diffusion Only",1,2.61384182187607
1,0.66838591669,"Diffusion Only",2,2.6170003411209
1,0.66838591669,"Diffusion Only",3,2.63848925695464
1,0.66838591669,"Diffusion Only",4,2.64933485871214
1,0.66838591669,"Diffusion Only",5,2.52891670027765
1,0.66838591669,"Diffusion Only",6,2.66558099101795
1,0.66838591669,"Diffusion Only",7,2.65801139665711
1,0.66838591669,"Diffusion Only",8,2.63648789635337
1,0.66838591669,"Diffusion Only",9,2.65513843481138
1,0.66838591669,"Diffusion Only",10,2.65224634100332
1,-0.33161408331,"Diffusion Only",1,1.82607480270083
1,-0.33161408331,"Diffusion Only",2,1.81954393554187
1,-0.33161408331,"Diffusion Only",3,1.77815125038364
1,-0.33161408331,"Diffusion Only",4,1.82607480270083
1,-0.33161408331,"Diffusion Only",5,1.72427586960079
1,-0.33161408331,"Diffusion Only",6,1.82607480270083
1,-0.33161408331,"Diffusion Only",7,1.77815125038364
1,-0.33161408331,"Diffusion Only",8,1.66275783168157
1,-0.33161408331,"Diffusion Only",9,1.78532983501077
1,-0.33161408331,"Diffusion Only",10,1.80617997398389
1,1.66838591669,"Diffusion Only",1,3.53681086599154
1,1.66838591669,"Diffusion Only",2,3.51335079880596
1,1.66838591669,"Diffusion Only",3,3.51481329499929
1,1.66838591669,"Diffusion Only",4,3.49248101012888
1,1.66838591669,"Diffusion Only",5,3.43743344379797
1,1.66838591669,"Diffusion Only",6,3.50447086249442
1,1.66838591669,"Diffusion Only",7,3.42061577062577
1,1.66838591669,"Diffusion Only",8,3.42520805113866
1,1.66838591669,"Diffusion Only",9,3.44932409309873
1,1.66838591669,"Diffusion Only",10,3.50677553660664
1,2.66838591669,"Diffusion Only",1,3.80016699020136
1,2.66838591669,"Diffusion Only",2,3.79553244271015
1,2.66838591669,"Diffusion Only",3,3.78103693862113
1,2.66838591669,"Diffusion Only",4,3.79615787690691
1,2.66838591669,"Diffusion Only",5,3.80475260215046
1,2.66838591669,"Diffusion Only",6,3.8003045775562
1,2.66838591669,"Diffusion Only",7,3.8139144200486
1,2.66838591669,"Diffusion Only",8,3.80848105656595
1,2.66838591669,"Diffusion Only",9,3.8117760216029
1,2.66838591669,"Diffusion Only",10,3.79148011602
1,3.66838591669,"Diffusion Only",1,3.7570162347313
1,3.66838591669,"Diffusion Only",2,3.77429793849928
1,3.66838591669,"Diffusion Only",3,3.76425087543877
1,3.66838591669,"Diffusion Only",4,3.79476679794082
1,3.66838591669,"Diffusion Only",5,3.80318388853534
1,3.66838591669,"Diffusion Only",6,3.81344754426482
1,3.66838591669,"Diffusion Only",7,3.82098917641605
1,3.66838591669,"Diffusion Only",8,3.80413943233535
1,3.66838591669,"Diffusion Only",9,3.79455775125476
1,3.66838591669,"Diffusion Only",10,3.79553244271015
1,0.765295929698057,"Diffusion Only",1,2.71767050300226
1,0.765295929698057,"Diffusion Only",2,2.78318869107526
1,0.765295929698057,"Diffusion Only",3,2.71180722904119
1,0.765295929698057,"Diffusion Only",4,2.69810054562339
1,0.765295929698057,"Diffusion Only",5,2.65513843481138
1,0.765295929698057,"Diffusion Only",6,2.69372694892365
1,0.765295929698057,"Diffusion Only",7,2.61804809671209
1,0.765295929698057,"Diffusion Only",8,2.64443858946784
1,0.765295929698057,"Diffusion Only",9,2.72672720902657
1,0.765295929698057,"Diffusion Only",10,2.69722934275972
1,-0.234704070301943,"Diffusion Only",1,1.88649072517248
1,-0.234704070301943,"Diffusion Only",2,1.8750612633917
1,-0.234704070301943,"Diffusion Only",3,1.91381385238372
1,-0.234704070301943,"Diffusion Only",4,1.76342799356294
1,-0.234704070301943,"Diffusion Only",5,1.82607480270083
1,-0.234704070301943,"Diffusion Only",6,1.83250891270624
1,-0.234704070301943,"Diffusion Only",7,1.7160033436348
1,-0.234704070301943,"Diffusion Only",8,1.77085201164214
1,-0.234704070301943,"Diffusion Only",9,1.81954393554187
1,-0.234704070301943,"Diffusion Only",10,1.75587485567249
1,1.76529592969806,"Diffusion Only",1,3.62613497863539
1,1.76529592969806,"Diffusion Only",2,3.62355939000544
1,1.76529592969806,"Diffusion Only",3,3.60400993241223
1,1.76529592969806,"Diffusion Only",4,3.56525734342021
1,1.76529592969806,"Diffusion Only",5,3.5584685625238
1,1.76529592969806,"Diffusion Only",6,3.58591171031943
1,1.76529592969806,"Diffusion Only",7,3.54107976777663
1,1.76529592969806,"Diffusion Only",8,3.54481191175778
1,1.76529592969806,"Diffusion Only",9,3.52387647563813
1,1.76529592969806,"Diffusion Only",10,3.61405310598722
1,2.76529592969806,"Diffusion Only",1,3.80133509567455
1,2.76529592969806,"Diffusion Only",2,3.78347478758225
1,2.76529592969806,"Diffusion Only",3,3.77952434332479
1,2.76529592969806,"Diffusion Only",4,3.79878871395125
1,2.76529592969806,"Diffusion Only",5,3.80848105656595
1,2.76529592969806,"Diffusion Only",6,3.80291048941904
1,2.76529592969806,"Diffusion Only",7,3.81411435612913
1,2.76529592969806,"Diffusion Only",8,3.8080082999104
1,2.76529592969806,"Diffusion Only",9,3.8178957571618
1,2.76529592969806,"Diffusion Only",10,3.80922292168942
1,3.76529592969806,"Diffusion Only",1,3.7570162347313
1,3.76529592969806,"Diffusion Only",2,3.78540102499239
1,3.76529592969806,"Diffusion Only",3,3.74780009086437
1,3.76529592969806,"Diffusion Only",4,3.79643555881017
1,3.76529592969806,"Diffusion Only",5,3.80841355140037
1,3.76529592969806,"Diffusion Only",6,3.81644016795614
1,3.76529592969806,"Diffusion Only",7,3.8172347304255
1,3.76529592969806,"Diffusion Only",8,3.79927160834987
1,3.76529592969806,"Diffusion Only",9,3.8055008581584
1,3.76529592969806,"Diffusion Only",10,3.77641058880734
