"Spread_Frac","Virus_D","Intact_To_Target_Virions","Sim","To_Target_Virions","Target_Virion_Cost"
"Diffusion Only",0.0663259253620378,30.2,1,89,194.701986754967
"Diffusion Only",0.0663259253620378,30.2,2,91,201.324503311258
"Diffusion Only",0.0663259253620378,30.2,3,84,178.145695364238
"Diffusion Only",0.0663259253620378,30.2,4,87,188.079470198675
"Diffusion Only",0.0663259253620378,30.2,5,85,181.456953642384
"Diffusion Only",0.0663259253620378,30.2,6,86,184.76821192053
"Diffusion Only",0.0663259253620378,30.2,7,88,191.390728476821
"Diffusion Only",0.0663259253620378,30.2,8,88,191.390728476821
"Diffusion Only",0.0663259253620378,30.2,9,90,198.013245033113
"Diffusion Only",0.0663259253620378,30.2,10,88,191.390728476821
"Diffusion Only",0.367355921026019,21.9,1,58,164.840182648402
"Diffusion Only",0.367355921026019,21.9,2,59,169.406392694064
"Diffusion Only",0.367355921026019,21.9,3,57,160.27397260274
"Diffusion Only",0.367355921026019,21.9,4,55,151.141552511416
"Diffusion Only",0.367355921026019,21.9,5,54,146.575342465753
"Diffusion Only",0.367355921026019,21.9,6,55,151.141552511416
"Diffusion Only",0.367355921026019,21.9,7,57,160.27397260274
"Diffusion Only",0.367355921026019,21.9,8,58,164.840182648402
"Diffusion Only",0.367355921026019,21.9,9,56,155.707762557078
"Diffusion Only",0.367355921026019,21.9,10,56,155.707762557078
"Diffusion Only",0.5434471800817,18.5,1,45,143.243243243243
"Diffusion Only",0.5434471800817,18.5,2,47,154.054054054054
"Diffusion Only",0.5434471800817,18.5,3,46,148.648648648649
"Diffusion Only",0.5434471800817,18.5,4,46,148.648648648649
"Diffusion Only",0.5434471800817,18.5,5,45,143.243243243243
"Diffusion Only",0.5434471800817,18.5,6,45,143.243243243243
"Diffusion Only",0.5434471800817,18.5,7,48,159.459459459459
"Diffusion Only",0.5434471800817,18.5,8,46,148.648648648649
"Diffusion Only",0.5434471800817,18.5,9,47,154.054054054054
"Diffusion Only",0.5434471800817,18.5,10,48,159.459459459459
"Diffusion Only",0.66838591669,16.7,1,40,139.520958083832
"Diffusion Only",0.66838591669,16.7,2,40,139.520958083832
"Diffusion Only",0.66838591669,16.7,3,41,145.508982035928
"Diffusion Only",0.66838591669,16.7,4,39,133.532934131737
"Diffusion Only",0.66838591669,16.7,5,40,139.520958083832
"Diffusion Only",0.66838591669,16.7,6,40,139.520958083832
"Diffusion Only",0.66838591669,16.7,7,41,145.508982035928
"Diffusion Only",0.66838591669,16.7,8,41,145.508982035928
"Diffusion Only",0.66838591669,16.7,9,43,157.48502994012
"Diffusion Only",0.66838591669,16.7,10,39,133.532934131737
"Diffusion Only",0.765295929698057,15.9,1,38,138.993710691824
"Diffusion Only",0.765295929698057,15.9,2,37,132.704402515723
"Diffusion Only",0.765295929698057,15.9,3,37,132.704402515723
"Diffusion Only",0.765295929698057,15.9,4,39,145.283018867925
"Diffusion Only",0.765295929698057,15.9,5,36,126.415094339623
"Diffusion Only",0.765295929698057,15.9,6,36,126.415094339623
"Diffusion Only",0.765295929698057,15.9,7,36,126.415094339623
"Diffusion Only",0.765295929698057,15.9,8,37,132.704402515723
"Diffusion Only",0.765295929698057,15.9,9,38,138.993710691824
"Diffusion Only",0.765295929698057,15.9,10,37,132.704402515723
"Diffusion Only",1.06632592536204,13.2,1,32,142.424242424242
"Diffusion Only",1.06632592536204,13.2,2,33,150
"Diffusion Only",1.06632592536204,13.2,3,31,134.848484848485
"Diffusion Only",1.06632592536204,13.2,4,31,134.848484848485
"Diffusion Only",1.06632592536204,13.2,5,29,119.69696969697
"Diffusion Only",1.06632592536204,13.2,6,29,119.69696969697
"Diffusion Only",1.06632592536204,13.2,7,32,142.424242424242
"Diffusion Only",1.06632592536204,13.2,8,31,134.848484848485
"Diffusion Only",1.06632592536204,13.2,9,32,142.424242424242
"Diffusion Only",1.06632592536204,13.2,10,32,142.424242424242
"Diffusion Only",1.36735592102602,11.5,1,28,143.478260869565
"Diffusion Only",1.36735592102602,11.5,2,33,186.95652173913
"Diffusion Only",1.36735592102602,11.5,3,30,160.869565217391
"Diffusion Only",1.36735592102602,11.5,4,30,160.869565217391
"Diffusion Only",1.36735592102602,11.5,5,26,126.086956521739
"Diffusion Only",1.36735592102602,11.5,6,28,143.478260869565
"Diffusion Only",1.36735592102602,11.5,7,28,143.478260869565
"Diffusion Only",1.36735592102602,11.5,8,27,134.782608695652
"Diffusion Only",1.36735592102602,11.5,9,30,160.869565217391
"Diffusion Only",1.36735592102602,11.5,10,29,152.173913043478
"Diffusion Only",1.5434471800817,10.9,1,28,156.880733944954
"Diffusion Only",1.5434471800817,10.9,2,28,156.880733944954
"Diffusion Only",1.5434471800817,10.9,3,29,166.05504587156
"Diffusion Only",1.5434471800817,10.9,4,27,147.706422018349
"Diffusion Only",1.5434471800817,10.9,5,26,138.532110091743
"Diffusion Only",1.5434471800817,10.9,6,25,129.357798165138
"Diffusion Only",1.5434471800817,10.9,7,30,175.229357798165
"Diffusion Only",1.5434471800817,10.9,8,27,147.706422018349
"Diffusion Only",1.5434471800817,10.9,9,30,175.229357798165
"Diffusion Only",1.5434471800817,10.9,10,30,175.229357798165
"Diffusion Only",1.66838591669,10.7,1,27,152.336448598131
"Diffusion Only",1.66838591669,10.7,2,29,171.028037383178
"Diffusion Only",1.66838591669,10.7,3,30,180.373831775701
"Diffusion Only",1.66838591669,10.7,4,29,171.028037383178
"Diffusion Only",1.66838591669,10.7,5,25,133.644859813084
"Diffusion Only",1.66838591669,10.7,6,28,161.682242990654
"Diffusion Only",1.66838591669,10.7,7,27,152.336448598131
"Diffusion Only",1.66838591669,10.7,8,29,171.028037383178
"Diffusion Only",1.66838591669,10.7,9,30,180.373831775701
"Diffusion Only",1.66838591669,10.7,10,32,199.065420560748
"Diffusion Only",1.76529592969806,10.3,1,28,171.844660194175
"Diffusion Only",1.76529592969806,10.3,2,29,181.553398058252
"Diffusion Only",1.76529592969806,10.3,3,29,181.553398058252
"Diffusion Only",1.76529592969806,10.3,4,28,171.844660194175
"Diffusion Only",1.76529592969806,10.3,5,29,181.553398058252
"Diffusion Only",1.76529592969806,10.3,6,29,181.553398058252
"Diffusion Only",1.76529592969806,10.3,7,32,210.679611650485
"Diffusion Only",1.76529592969806,10.3,8,30,191.26213592233
"Diffusion Only",1.76529592969806,10.3,9,31,200.970873786408
"Diffusion Only",1.76529592969806,10.3,10,29,181.553398058252
"Diffusion Only",2.06632592536204,9.9,1,34,243.434343434343
"Diffusion Only",2.06632592536204,9.9,2,32,223.232323232323
"Diffusion Only",2.06632592536204,9.9,3,35,253.535353535354
"Diffusion Only",2.06632592536204,9.9,4,35,253.535353535354
"Diffusion Only",2.06632592536204,9.9,5,28,182.828282828283
"Diffusion Only",2.06632592536204,9.9,6,32,223.232323232323
"Diffusion Only",2.06632592536204,9.9,7,35,253.535353535354
"Diffusion Only",2.06632592536204,9.9,8,32,223.232323232323
"Diffusion Only",2.06632592536204,9.9,9,33,233.333333333333
"Diffusion Only",2.06632592536204,9.9,10,35,253.535353535354
"Diffusion Only",2.36735592102602,9.7,1,37,281.443298969072
"Diffusion Only",2.36735592102602,9.7,2,36,271.134020618557
"Diffusion Only",2.36735592102602,9.7,3,36,271.134020618557
"Diffusion Only",2.36735592102602,9.7,4,41,322.680412371134
"Diffusion Only",2.36735592102602,9.7,5,30,209.278350515464
"Diffusion Only",2.36735592102602,9.7,6,35,260.824742268041
"Diffusion Only",2.36735592102602,9.7,7,43,343.298969072165
"Diffusion Only",2.36735592102602,9.7,8,40,312.371134020619
"Diffusion Only",2.36735592102602,9.7,9,35,260.824742268041
"Diffusion Only",2.36735592102602,9.7,10,31,219.587628865979
"Diffusion Only",2.5434471800817,9.8,1,38,287.755102040816
"Diffusion Only",2.5434471800817,9.8,2,36,267.34693877551
"Diffusion Only",2.5434471800817,9.8,3,45,359.183673469388
"Diffusion Only",2.5434471800817,9.8,4,45,359.183673469388
"Diffusion Only",2.5434471800817,9.8,5,34,246.938775510204
"Diffusion Only",2.5434471800817,9.8,6,39,297.959183673469
"Diffusion Only",2.5434471800817,9.8,7,46,369.387755102041
"Diffusion Only",2.5434471800817,9.8,8,41,318.367346938775
"Diffusion Only",2.5434471800817,9.8,9,42,328.571428571429
"Diffusion Only",2.5434471800817,9.8,10,35,257.142857142857
"Diffusion Only",2.66838591669,9.8,1,36,267.34693877551
"Diffusion Only",2.66838591669,9.8,2,34,246.938775510204
"Diffusion Only",2.66838591669,9.8,3,41,318.367346938775
"Diffusion Only",2.66838591669,9.8,4,43,338.775510204082
"Diffusion Only",2.66838591669,9.8,5,37,277.551020408163
"Diffusion Only",2.66838591669,9.8,6,38,287.755102040816
"Diffusion Only",2.66838591669,9.8,7,43,338.775510204082
"Diffusion Only",2.66838591669,9.8,8,36,267.34693877551
"Diffusion Only",2.66838591669,9.8,9,41,318.367346938775
"Diffusion Only",2.66838591669,9.8,10,34,246.938775510204
"Diffusion Only",2.76529592969806,9.8,1,38,287.755102040816
"Diffusion Only",2.76529592969806,9.8,2,36,267.34693877551
"Diffusion Only",2.76529592969806,9.8,3,42,328.571428571429
"Diffusion Only",2.76529592969806,9.8,4,44,348.979591836735
"Diffusion Only",2.76529592969806,9.8,5,39,297.959183673469
"Diffusion Only",2.76529592969806,9.8,6,40,308.163265306122
"Diffusion Only",2.76529592969806,9.8,7,44,348.979591836735
"Diffusion Only",2.76529592969806,9.8,8,48,389.795918367347
"Diffusion Only",2.76529592969806,9.8,9,44,348.979591836735
"Diffusion Only",2.76529592969806,9.8,10,36,267.34693877551
"Diffusion Only",3.06632592536204,9.8,1,41,318.367346938775
"Diffusion Only",3.06632592536204,9.8,2,36,267.34693877551
"Diffusion Only",3.06632592536204,9.8,3,46,369.387755102041
"Diffusion Only",3.06632592536204,9.8,4,43,338.775510204082
"Diffusion Only",3.06632592536204,9.8,5,40,308.163265306122
"Diffusion Only",3.06632592536204,9.8,6,41,318.367346938775
"Diffusion Only",3.06632592536204,9.8,7,51,420.408163265306
"Diffusion Only",3.06632592536204,9.8,8,51,420.408163265306
"Diffusion Only",3.06632592536204,9.8,9,45,359.183673469388
"Diffusion Only",3.06632592536204,9.8,10,35,257.142857142857
"Diffusion Only",3.36735592102602,9.6,1,44,358.333333333333
"Diffusion Only",3.36735592102602,9.6,2,41,327.083333333333
"Diffusion Only",3.36735592102602,9.6,3,42,337.5
"Diffusion Only",3.36735592102602,9.6,4,40,316.666666666667
"Diffusion Only",3.36735592102602,9.6,5,42,337.5
"Diffusion Only",3.36735592102602,9.6,6,43,347.916666666667
"Diffusion Only",3.36735592102602,9.6,7,54,462.5
"Diffusion Only",3.36735592102602,9.6,8,43,347.916666666667
"Diffusion Only",3.36735592102602,9.6,9,43,347.916666666667
"Diffusion Only",3.36735592102602,9.6,10,40,316.666666666667
"Diffusion Only",3.5434471800817,9.8,1,43,338.775510204082
"Diffusion Only",3.5434471800817,9.8,2,38,287.755102040816
"Diffusion Only",3.5434471800817,9.8,3,49,400
"Diffusion Only",3.5434471800817,9.8,4,39,297.959183673469
"Diffusion Only",3.5434471800817,9.8,5,38,287.755102040816
"Diffusion Only",3.5434471800817,9.8,6,41,318.367346938775
"Diffusion Only",3.5434471800817,9.8,7,50,410.204081632653
"Diffusion Only",3.5434471800817,9.8,8,56,471.428571428571
"Diffusion Only",3.5434471800817,9.8,9,48,389.795918367347
"Diffusion Only",3.5434471800817,9.8,10,35,257.142857142857
"Diffusion Only",3.66838591669,9.7,1,37,281.443298969072
"Diffusion Only",3.66838591669,9.7,2,35,260.824742268041
"Diffusion Only",3.66838591669,9.7,3,54,456.701030927835
"Diffusion Only",3.66838591669,9.7,4,44,353.60824742268
"Diffusion Only",3.66838591669,9.7,5,36,271.134020618557
"Diffusion Only",3.66838591669,9.7,6,54,456.701030927835
"Diffusion Only",3.66838591669,9.7,7,50,415.463917525773
"Diffusion Only",3.66838591669,9.7,8,43,343.298969072165
"Diffusion Only",3.66838591669,9.7,9,38,291.752577319588
"Diffusion Only",3.66838591669,9.7,10,34,250.515463917526
"Diffusion Only",3.76529592969806,9.6,1,39,306.25
"Diffusion Only",3.76529592969806,9.6,2,40,316.666666666667
"Diffusion Only",3.76529592969806,9.6,3,43,347.916666666667
"Diffusion Only",3.76529592969806,9.6,4,52,441.666666666667
"Diffusion Only",3.76529592969806,9.6,5,46,379.166666666667
"Diffusion Only",3.76529592969806,9.6,6,43,347.916666666667
"Diffusion Only",3.76529592969806,9.6,7,39,306.25
"Diffusion Only",3.76529592969806,9.6,8,47,389.583333333333
"Diffusion Only",3.76529592969806,9.6,9,46,379.166666666667
"Diffusion Only",3.76529592969806,9.6,10,34,254.166666666667
