,PB2,PB1,PA,HA,NP,NA.,M,NS,Avg,WT.Segments,P3.NP,Segments.Per.Cell,Delay,Initial.MOI,Time.MOI,Expt,Rep
1,0.593705477,0.461781362,0.414707231,0.68516228,0.593705477,0.75272534,0.788847451,0.593705477,0.597777099,250,0.357142857,5.952380952,0,0.724137931,0.724137931,1,1
2,0.505522925,0.505522925,0.434241971,0.644075221,0.644075221,0.531055893,0.644075221,0.557590405,0.553267106,255,0.340909091,5.795454545,0,0.771929825,0.771929825,2,2
3,0.482522214,0.428803849,0.428803849,0.598524991,0.568358499,0.568358499,0.510397324,0.538996544,0.511955255,185,0.27027027,5,0,0.596774194,0.596774194,3,3
4,0.612084789,0.542319748,0.684215193,0.758877,0.684215193,0.684215193,0.612084789,0.542319748,0.636041485,83,0.2,5.533333333,0,0.375,0.375,10,4
5,0.417139741,0.453251677,0.568544589,0.741647955,0.69599499,0.568544589,0.652002505,0.609553939,0.578464779,147,0.333333333,5.444444444,0,0.5625,0.5625,11,5
6,0.588602504,0.588602504,0.588602504,0.693024301,0.806951542,0.588602504,0.492221415,0.806951542,0.635677058,128,0.5,5.818181818,0,0.55,0.55,12,6
7,0.570238429,0.570238429,0.77244982,0.47698575,0.570238429,0.388283833,0.668534186,0.388283833,0.536717703,54,0.363636364,4.909090909,0,0.423076923,0.423076923,13,7
8,0.336814373,0.520708902,0.277960699,0.336814373,0.584625633,0.520708902,0.584625633,0.39685709,0.429579017,62,0.125,3.875,0,0.285714286,0.285714286,4,8
9,0.535537239,0.293886538,0.386904437,0.641480535,0.587773075,0.587773075,0.641480535,0.641480535,0.522477825,96,0.2,4.8,0,0.408163265,0.408163265,5,9
10,0.587725248,0.653729424,0.524865346,0.524865346,0.723209069,0.653729424,0.555921095,0.620314767,0.602031782,188,0.441176471,5.529411765,0,0.53125,0.53125,6,10
11,0.826170062,0.632913907,0.43393755,0.826170062,0.880860127,0.548571759,0.938676995,0.826170062,0.717512713,176,0.481481481,6.518518519,0,0.627906977,0.627906977,7,11
12,0.448271415,0.535026479,0.448271415,0.682957584,0.630929754,0.535026479,0.581715648,0.630929754,0.555728145,132,0.375,5.5,0,0.666666667,0.666666667,8,12
13,0.737743829,0.468557721,0.553640325,0.597832356,0.787060254,0.689816786,0.510567201,0.597832356,0.6091598,131,0.416666667,5.458333333,0,0.444444444,0.444444444,9,13
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,