"t","Pp","Virus_D","Productive"
38,0.575,-0.33161408331,50
39,0.575,-0.33161408331,54
40,0.575,-0.33161408331,56
41,0.575,-0.33161408331,63
42,0.575,-0.33161408331,57
43,0.575,-0.33161408331,63
44,0.575,-0.33161408331,62
45,0.575,-0.33161408331,61
46,0.575,-0.33161408331,69
47,0.575,-0.33161408331,75
48,0.575,-0.33161408331,71
49,0.575,-0.33161408331,76
50,0.575,-0.33161408331,74
51,0.575,-0.33161408331,80
52,0.575,-0.33161408331,86
53,0.575,-0.33161408331,95
54,0.575,-0.33161408331,103
55,0.575,-0.33161408331,109
56,0.575,-0.33161408331,121
57,0.575,-0.33161408331,123
58,0.575,-0.33161408331,121
59,0.575,-0.33161408331,113
60,0.575,-0.33161408331,115
61,0.575,-0.33161408331,128
62,0.575,-0.33161408331,129
63,0.575,-0.33161408331,126
64,0.575,-0.33161408331,126
65,0.575,-0.33161408331,117
66,0.575,-0.33161408331,126
67,0.575,-0.33161408331,129
68,0.575,-0.33161408331,127
69,0.575,-0.33161408331,122
70,0.575,-0.33161408331,122
71,0.575,-0.33161408331,128
72,0.575,-0.33161408331,128
73,0.575,-0.33161408331,136
74,0.575,-0.33161408331,137
75,0.575,-0.33161408331,137
76,0.575,-0.33161408331,147
77,0.575,-0.33161408331,161
78,0.575,-0.33161408331,156
79,0.575,-0.33161408331,163
80,0.575,-0.33161408331,153
81,0.575,-0.33161408331,159
82,0.575,-0.33161408331,164
83,0.575,-0.33161408331,169
84,0.575,-0.33161408331,156
85,0.575,-0.33161408331,172
86,0.575,-0.33161408331,171
87,0.575,-0.33161408331,175
88,0.575,-0.33161408331,174
89,0.575,-0.33161408331,178
90,0.575,-0.33161408331,178
91,0.575,-0.33161408331,180
92,0.575,-0.33161408331,193
93,0.575,-0.33161408331,200
94,0.575,-0.33161408331,198
95,0.575,-0.33161408331,215
96,0.575,-0.33161408331,215
1,0.575,1.66838591669,1
2,0.575,1.66838591669,1
3,0.575,1.66838591669,1
4,0.575,1.66838591669,1
5,0.575,1.66838591669,1
6,0.575,1.66838591669,3
7,0.575,1.66838591669,2
8,0.575,1.66838591669,3
9,0.575,1.66838591669,5
10,0.575,1.66838591669,7
11,0.575,1.66838591669,5
12,0.575,1.66838591669,7
13,0.575,1.66838591669,12
14,0.575,1.66838591669,15
15,0.575,1.66838591669,20
16,0.575,1.66838591669,28
17,0.575,1.66838591669,44
18,0.575,1.66838591669,65
19,0.575,1.66838591669,91
20,0.575,1.66838591669,137
21,0.575,1.66838591669,209
22,0.575,1.66838591669,295
23,0.575,1.66838591669,429
24,0.575,1.66838591669,535
25,0.575,1.66838591669,711
26,0.575,1.66838591669,870
27,0.575,1.66838591669,1033
28,0.575,1.66838591669,1206
29,0.575,1.66838591669,1335
30,0.575,1.66838591669,1535
31,0.575,1.66838591669,1673
32,0.575,1.66838591669,1862
33,0.575,1.66838591669,2035
34,0.575,1.66838591669,2235
35,0.575,1.66838591669,2406
36,0.575,1.66838591669,2675
37,0.575,1.66838591669,2856
38,0.575,1.66838591669,2916
39,0.575,1.66838591669,2787
40,0.575,1.66838591669,2668
41,0.575,1.66838591669,2480
42,0.575,1.66838591669,2262
43,0.575,1.66838591669,1973
44,0.575,1.66838591669,1676
45,0.575,1.66838591669,1370
46,0.575,1.66838591669,1078
47,0.575,1.66838591669,875
48,0.575,1.66838591669,705
49,0.575,1.66838591669,583
50,0.575,1.66838591669,484
51,0.575,1.66838591669,379
52,0.575,1.66838591669,301
53,0.575,1.66838591669,255
54,0.575,1.66838591669,206
55,0.575,1.66838591669,165
56,0.575,1.66838591669,139
57,0.575,1.66838591669,115
58,0.575,1.66838591669,87
59,0.575,1.66838591669,70
60,0.575,1.66838591669,57
61,0.575,1.66838591669,44
62,0.575,1.66838591669,38
63,0.575,1.66838591669,30
64,0.575,1.66838591669,24
65,0.575,1.66838591669,18
66,0.575,1.66838591669,15
67,0.575,1.66838591669,9
68,0.575,1.66838591669,7
69,0.575,1.66838591669,4
70,0.575,1.66838591669,3
71,0.575,1.66838591669,2
72,0.575,1.66838591669,1
73,0.575,1.66838591669,1
74,0.575,1.66838591669,1
75,0.575,1.66838591669,1
76,0.575,1.66838591669,1
77,0.575,1.66838591669,1
78,0.575,1.66838591669,1
79,0.575,1.66838591669,1
80,0.575,1.66838591669,1
81,0.575,1.66838591669,1
82,0.575,1.66838591669,1
83,0.575,1.66838591669,1
84,0.575,1.66838591669,1
85,0.575,1.66838591669,1
86,0.575,1.66838591669,1
87,0.575,1.66838591669,1
88,0.575,1.66838591669,1
89,0.575,1.66838591669,1
90,0.575,1.66838591669,1
91,0.575,1.66838591669,1
92,0.575,1.66838591669,1
93,0.575,1.66838591669,1
94,0.575,1.66838591669,1
95,0.575,1.66838591669,1
96,0.575,1.66838591669,1
1,0.575,2.66838591669,1
2,0.575,2.66838591669,1
3,0.575,2.66838591669,1
4,0.575,2.66838591669,1
5,0.575,2.66838591669,1
6,0.575,2.66838591669,3
7,0.575,2.66838591669,2
8,0.575,2.66838591669,2
9,0.575,2.66838591669,2
10,0.575,2.66838591669,4
11,0.575,2.66838591669,5
12,0.575,2.66838591669,4
13,0.575,2.66838591669,4
14,0.575,2.66838591669,8
15,0.575,2.66838591669,7
16,0.575,2.66838591669,8
17,0.575,2.66838591669,8
18,0.575,2.66838591669,12
19,0.575,2.66838591669,10
20,0.575,2.66838591669,10
21,0.575,2.66838591669,11
22,0.575,2.66838591669,13
23,0.575,2.66838591669,17
24,0.575,2.66838591669,23
25,0.575,2.66838591669,29
26,0.575,2.66838591669,38
27,0.575,2.66838591669,53
28,0.575,2.66838591669,77
29,0.575,2.66838591669,113
30,0.575,2.66838591669,143
31,0.575,2.66838591669,204
32,0.575,2.66838591669,325
33,0.575,2.66838591669,489
34,0.575,2.66838591669,817
35,0.575,2.66838591669,1283
36,0.575,2.66838591669,2089
37,0.575,2.66838591669,3358
38,0.575,2.66838591669,4735
39,0.575,2.66838591669,5565
40,0.575,2.66838591669,5257
41,0.575,2.66838591669,4405
42,0.575,2.66838591669,3550
43,0.575,2.66838591669,2875
44,0.575,2.66838591669,2356
45,0.575,2.66838591669,1911
46,0.575,2.66838591669,1577
47,0.575,2.66838591669,1306
48,0.575,2.66838591669,1062
49,0.575,2.66838591669,861
50,0.575,2.66838591669,714
51,0.575,2.66838591669,573
52,0.575,2.66838591669,472
53,0.575,2.66838591669,376
54,0.575,2.66838591669,308
55,0.575,2.66838591669,259
56,0.575,2.66838591669,223
57,0.575,2.66838591669,183
58,0.575,2.66838591669,157
59,0.575,2.66838591669,121
60,0.575,2.66838591669,102
61,0.575,2.66838591669,86
62,0.575,2.66838591669,71
63,0.575,2.66838591669,52
64,0.575,2.66838591669,41
65,0.575,2.66838591669,34
66,0.575,2.66838591669,27
67,0.575,2.66838591669,24
68,0.575,2.66838591669,21
69,0.575,2.66838591669,19
70,0.575,2.66838591669,15
71,0.575,2.66838591669,12
72,0.575,2.66838591669,10
73,0.575,2.66838591669,7
74,0.575,2.66838591669,6
75,0.575,2.66838591669,5
76,0.575,2.66838591669,3
77,0.575,2.66838591669,3
78,0.575,2.66838591669,3
79,0.575,2.66838591669,3
80,0.575,2.66838591669,3
81,0.575,2.66838591669,2
82,0.575,2.66838591669,2
83,0.575,2.66838591669,2
84,0.575,2.66838591669,1
85,0.575,2.66838591669,1
86,0.575,2.66838591669,1
87,0.575,2.66838591669,1
88,0.575,2.66838591669,1
89,0.575,2.66838591669,1
90,0.575,2.66838591669,1
91,0.575,2.66838591669,1
92,0.575,2.66838591669,1
93,0.575,2.66838591669,1
94,0.575,2.66838591669,1
95,0.575,2.66838591669,1
96,0.575,2.66838591669,1
1,0.575,3.66838591669,1
2,0.575,3.66838591669,1
3,0.575,3.66838591669,1
4,0.575,3.66838591669,1
5,0.575,3.66838591669,1
6,0.575,3.66838591669,3
7,0.575,3.66838591669,1
8,0.575,3.66838591669,1
9,0.575,3.66838591669,2
10,0.575,3.66838591669,6
11,0.575,3.66838591669,6
12,0.575,3.66838591669,5
13,0.575,3.66838591669,5
14,0.575,3.66838591669,4
15,0.575,3.66838591669,3
16,0.575,3.66838591669,1
17,0.575,3.66838591669,3
18,0.575,3.66838591669,6
19,0.575,3.66838591669,7
20,0.575,3.66838591669,10
21,0.575,3.66838591669,16
22,0.575,3.66838591669,15
23,0.575,3.66838591669,18
24,0.575,3.66838591669,20
25,0.575,3.66838591669,26
26,0.575,3.66838591669,31
27,0.575,3.66838591669,41
28,0.575,3.66838591669,48
29,0.575,3.66838591669,62
30,0.575,3.66838591669,87
31,0.575,3.66838591669,122
32,0.575,3.66838591669,169
33,0.575,3.66838591669,242
34,0.575,3.66838591669,371
35,0.575,3.66838591669,634
36,0.575,3.66838591669,1053
37,0.575,3.66838591669,1724
38,0.575,3.66838591669,2886
39,0.575,3.66838591669,4324
40,0.575,3.66838591669,5520
41,0.575,3.66838591669,5626
42,0.575,3.66838591669,4856
43,0.575,3.66838591669,3987
44,0.575,3.66838591669,3228
45,0.575,3.66838591669,2641
46,0.575,3.66838591669,2143
47,0.575,3.66838591669,1760
48,0.575,3.66838591669,1424
49,0.575,3.66838591669,1160
50,0.575,3.66838591669,937
51,0.575,3.66838591669,757
52,0.575,3.66838591669,614
53,0.575,3.66838591669,519
54,0.575,3.66838591669,425
55,0.575,3.66838591669,328
56,0.575,3.66838591669,272
57,0.575,3.66838591669,219
58,0.575,3.66838591669,173
59,0.575,3.66838591669,148
60,0.575,3.66838591669,121
61,0.575,3.66838591669,101
62,0.575,3.66838591669,84
63,0.575,3.66838591669,66
64,0.575,3.66838591669,54
65,0.575,3.66838591669,42
66,0.575,3.66838591669,38
67,0.575,3.66838591669,32
68,0.575,3.66838591669,27
69,0.575,3.66838591669,20
70,0.575,3.66838591669,16
71,0.575,3.66838591669,14
72,0.575,3.66838591669,10
73,0.575,3.66838591669,7
74,0.575,3.66838591669,5
75,0.575,3.66838591669,4
76,0.575,3.66838591669,1
1,0.575,0.765295929698057,1
2,0.575,0.765295929698057,1
3,0.575,0.765295929698057,1
4,0.575,0.765295929698057,1
5,0.575,0.765295929698057,1
6,0.575,0.765295929698057,2
7,0.575,0.765295929698057,2
8,0.575,0.765295929698057,4
9,0.575,0.765295929698057,6
10,0.575,0.765295929698057,10
11,0.575,0.765295929698057,13
12,0.575,0.765295929698057,19
13,0.575,0.765295929698057,26
14,0.575,0.765295929698057,42
15,0.575,0.765295929698057,64
16,0.575,0.765295929698057,83
17,0.575,0.765295929698057,96
18,0.575,0.765295929698057,113
19,0.575,0.765295929698057,144
20,0.575,0.765295929698057,162
21,0.575,0.765295929698057,173
22,0.575,0.765295929698057,214
23,0.575,0.765295929698057,225
24,0.575,0.765295929698057,232
25,0.575,0.765295929698057,256
26,0.575,0.765295929698057,268
27,0.575,0.765295929698057,275
28,0.575,0.765295929698057,289
29,0.575,0.765295929698057,313
30,0.575,0.765295929698057,330
31,0.575,0.765295929698057,343
32,0.575,0.765295929698057,391
33,0.575,0.765295929698057,425
34,0.575,0.765295929698057,470
35,0.575,0.765295929698057,476
36,0.575,0.765295929698057,515
37,0.575,0.765295929698057,558
38,0.575,0.765295929698057,579
39,0.575,0.765295929698057,603
40,0.575,0.765295929698057,629
41,0.575,0.765295929698057,659
42,0.575,0.765295929698057,686
43,0.575,0.765295929698057,739
44,0.575,0.765295929698057,783
45,0.575,0.765295929698057,818
46,0.575,0.765295929698057,843
47,0.575,0.765295929698057,853
48,0.575,0.765295929698057,888
49,0.575,0.765295929698057,906
50,0.575,0.765295929698057,936
51,0.575,0.765295929698057,977
52,0.575,0.765295929698057,982
53,0.575,0.765295929698057,1005
54,0.575,0.765295929698057,1026
55,0.575,0.765295929698057,1037
56,0.575,0.765295929698057,1070
57,0.575,0.765295929698057,1083
58,0.575,0.765295929698057,1104
59,0.575,0.765295929698057,1130
60,0.575,0.765295929698057,1123
61,0.575,0.765295929698057,1182
62,0.575,0.765295929698057,1196
63,0.575,0.765295929698057,1240
64,0.575,0.765295929698057,1308
65,0.575,0.765295929698057,1314
66,0.575,0.765295929698057,1277
67,0.575,0.765295929698057,1202
68,0.575,0.765295929698057,1154
69,0.575,0.765295929698057,1086
70,0.575,0.765295929698057,1031
71,0.575,0.765295929698057,963
72,0.575,0.765295929698057,909
73,0.575,0.765295929698057,849
74,0.575,0.765295929698057,780
75,0.575,0.765295929698057,748
76,0.575,0.765295929698057,706
77,0.575,0.765295929698057,655
78,0.575,0.765295929698057,594
79,0.575,0.765295929698057,549
80,0.575,0.765295929698057,491
81,0.575,0.765295929698057,452
82,0.575,0.765295929698057,390
83,0.575,0.765295929698057,361
84,0.575,0.765295929698057,304
85,0.575,0.765295929698057,269
86,0.575,0.765295929698057,220
87,0.575,0.765295929698057,186
88,0.575,0.765295929698057,150
89,0.575,0.765295929698057,110
90,0.575,0.765295929698057,86
91,0.575,0.765295929698057,77
92,0.575,0.765295929698057,60
93,0.575,0.765295929698057,52
94,0.575,0.765295929698057,42
95,0.575,0.765295929698057,34
96,0.575,0.765295929698057,28
1,0.575,-0.234704070301943,1
2,0.575,-0.234704070301943,1
3,0.575,-0.234704070301943,2
4,0.575,-0.234704070301943,2
5,0.575,-0.234704070301943,4
6,0.575,-0.234704070301943,3
7,0.575,-0.234704070301943,5
8,0.575,-0.234704070301943,4
9,0.575,-0.234704070301943,7
10,0.575,-0.234704070301943,10
11,0.575,-0.234704070301943,11
12,0.575,-0.234704070301943,15
13,0.575,-0.234704070301943,21
14,0.575,-0.234704070301943,21
15,0.575,-0.234704070301943,25
16,0.575,-0.234704070301943,26
17,0.575,-0.234704070301943,27
18,0.575,-0.234704070301943,32
19,0.575,-0.234704070301943,33
20,0.575,-0.234704070301943,33
21,0.575,-0.234704070301943,37
22,0.575,-0.234704070301943,42
23,0.575,-0.234704070301943,41
24,0.575,-0.234704070301943,49
25,0.575,-0.234704070301943,61
26,0.575,-0.234704070301943,67
27,0.575,-0.234704070301943,62
28,0.575,-0.234704070301943,59
29,0.575,-0.234704070301943,52
30,0.575,-0.234704070301943,55
31,0.575,-0.234704070301943,58
32,0.575,-0.234704070301943,56
33,0.575,-0.234704070301943,64
34,0.575,-0.234704070301943,60
35,0.575,-0.234704070301943,63
36,0.575,-0.234704070301943,73
37,0.575,-0.234704070301943,83
38,0.575,-0.234704070301943,87
39,0.575,-0.234704070301943,95
40,0.575,-0.234704070301943,93
41,0.575,-0.234704070301943,96
42,0.575,-0.234704070301943,97
43,0.575,-0.234704070301943,114
44,0.575,-0.234704070301943,108
45,0.575,-0.234704070301943,114
46,0.575,-0.234704070301943,120
47,0.575,-0.234704070301943,126
48,0.575,-0.234704070301943,116
49,0.575,-0.234704070301943,127
50,0.575,-0.234704070301943,132
51,0.575,-0.234704070301943,125
52,0.575,-0.234704070301943,125
53,0.575,-0.234704070301943,127
54,0.575,-0.234704070301943,123
55,0.575,-0.234704070301943,131
56,0.575,-0.234704070301943,136
57,0.575,-0.234704070301943,142
58,0.575,-0.234704070301943,141
59,0.575,-0.234704070301943,128
60,0.575,-0.234704070301943,145
61,0.575,-0.234704070301943,145
62,0.575,-0.234704070301943,152
63,0.575,-0.234704070301943,151
64,0.575,-0.234704070301943,158
65,0.575,-0.234704070301943,159
66,0.575,-0.234704070301943,163
67,0.575,-0.234704070301943,160
68,0.575,-0.234704070301943,171
69,0.575,-0.234704070301943,192
70,0.575,-0.234704070301943,175
71,0.575,-0.234704070301943,164
72,0.575,-0.234704070301943,172
73,0.575,-0.234704070301943,179
74,0.575,-0.234704070301943,174
75,0.575,-0.234704070301943,181
76,0.575,-0.234704070301943,198
77,0.575,-0.234704070301943,204
78,0.575,-0.234704070301943,200
79,0.575,-0.234704070301943,203
80,0.575,-0.234704070301943,213
81,0.575,-0.234704070301943,216
82,0.575,-0.234704070301943,217
83,0.575,-0.234704070301943,215
84,0.575,-0.234704070301943,236
85,0.575,-0.234704070301943,231
86,0.575,-0.234704070301943,239
87,0.575,-0.234704070301943,234
88,0.575,-0.234704070301943,232
89,0.575,-0.234704070301943,233
90,0.575,-0.234704070301943,228
91,0.575,-0.234704070301943,236
92,0.575,-0.234704070301943,241
93,0.575,-0.234704070301943,234
94,0.575,-0.234704070301943,244
95,0.575,-0.234704070301943,247
96,0.575,-0.234704070301943,256
1,0.575,1.76529592969806,1
2,0.575,1.76529592969806,1
3,0.575,1.76529592969806,1
4,0.575,1.76529592969806,1
5,0.575,1.76529592969806,1
6,0.575,1.76529592969806,3
7,0.575,1.76529592969806,2
8,0.575,1.76529592969806,2
9,0.575,1.76529592969806,5
10,0.575,1.76529592969806,4
11,0.575,1.76529592969806,7
12,0.575,1.76529592969806,9
13,0.575,1.76529592969806,6
14,0.575,1.76529592969806,9
15,0.575,1.76529592969806,14
16,0.575,1.76529592969806,24
17,0.575,1.76529592969806,28
18,0.575,1.76529592969806,40
19,0.575,1.76529592969806,58
20,0.575,1.76529592969806,103
21,0.575,1.76529592969806,141
22,0.575,1.76529592969806,212
23,0.575,1.76529592969806,333
24,0.575,1.76529592969806,473
25,0.575,1.76529592969806,617
26,0.575,1.76529592969806,762
27,0.575,1.76529592969806,938
28,0.575,1.76529592969806,1086
29,0.575,1.76529592969806,1272
30,0.575,1.76529592969806,1472
31,0.575,1.76529592969806,1646
32,0.575,1.76529592969806,1854
33,0.575,1.76529592969806,2162
34,0.575,1.76529592969806,2381
35,0.575,1.76529592969806,2638
36,0.575,1.76529592969806,2967
37,0.575,1.76529592969806,3253
38,0.575,1.76529592969806,3324
39,0.575,1.76529592969806,3167
40,0.575,1.76529592969806,2943
41,0.575,1.76529592969806,2659
42,0.575,1.76529592969806,2274
43,0.575,1.76529592969806,1912
44,0.575,1.76529592969806,1526
45,0.575,1.76529592969806,1278
46,0.575,1.76529592969806,1032
47,0.575,1.76529592969806,834
48,0.575,1.76529592969806,665
49,0.575,1.76529592969806,540
50,0.575,1.76529592969806,419
51,0.575,1.76529592969806,331
52,0.575,1.76529592969806,273
53,0.575,1.76529592969806,223
54,0.575,1.76529592969806,183
55,0.575,1.76529592969806,148
56,0.575,1.76529592969806,110
57,0.575,1.76529592969806,91
58,0.575,1.76529592969806,74
59,0.575,1.76529592969806,58
60,0.575,1.76529592969806,49
61,0.575,1.76529592969806,37
62,0.575,1.76529592969806,26
63,0.575,1.76529592969806,19
64,0.575,1.76529592969806,15
65,0.575,1.76529592969806,12
66,0.575,1.76529592969806,10
67,0.575,1.76529592969806,8
68,0.575,1.76529592969806,7
69,0.575,1.76529592969806,7
70,0.575,1.76529592969806,6
71,0.575,1.76529592969806,5
72,0.575,1.76529592969806,4
73,0.575,1.76529592969806,2
74,0.575,1.76529592969806,2
75,0.575,1.76529592969806,2
76,0.575,1.76529592969806,1
77,0.575,1.76529592969806,1
78,0.575,1.76529592969806,1
79,0.575,1.76529592969806,1
80,0.575,1.76529592969806,1
81,0.575,1.76529592969806,1
82,0.575,1.76529592969806,1
83,0.575,1.76529592969806,1
84,0.575,1.76529592969806,1
85,0.575,1.76529592969806,1
86,0.575,1.76529592969806,1
87,0.575,1.76529592969806,1
88,0.575,1.76529592969806,1
89,0.575,1.76529592969806,1
90,0.575,1.76529592969806,1
91,0.575,1.76529592969806,1
92,0.575,1.76529592969806,1
93,0.575,1.76529592969806,1
94,0.575,1.76529592969806,1
95,0.575,1.76529592969806,1
96,0.575,1.76529592969806,1
1,0.575,2.76529592969806,1
2,0.575,2.76529592969806,1
3,0.575,2.76529592969806,1
4,0.575,2.76529592969806,1
5,0.575,2.76529592969806,1
6,0.575,2.76529592969806,3
7,0.575,2.76529592969806,2
8,0.575,2.76529592969806,2
9,0.575,2.76529592969806,2
10,0.575,2.76529592969806,2
11,0.575,2.76529592969806,2
12,0.575,2.76529592969806,2
13,0.575,2.76529592969806,4
14,0.575,2.76529592969806,3
15,0.575,2.76529592969806,2
16,0.575,2.76529592969806,2
17,0.575,2.76529592969806,4
18,0.575,2.76529592969806,5
19,0.575,2.76529592969806,5
20,0.575,2.76529592969806,7
21,0.575,2.76529592969806,9
22,0.575,2.76529592969806,11
23,0.575,2.76529592969806,14
24,0.575,2.76529592969806,18
25,0.575,2.76529592969806,21
26,0.575,2.76529592969806,24
27,0.575,2.76529592969806,28
28,0.575,2.76529592969806,40
29,0.575,2.76529592969806,47
30,0.575,2.76529592969806,66
31,0.575,2.76529592969806,85
32,0.575,2.76529592969806,109
33,0.575,2.76529592969806,160
34,0.575,2.76529592969806,244
35,0.575,2.76529592969806,373
36,0.575,2.76529592969806,586
37,0.575,2.76529592969806,976
38,0.575,2.76529592969806,1624
39,0.575,2.76529592969806,2699
40,0.575,2.76529592969806,4114
41,0.575,2.76529592969806,5410
42,0.575,2.76529592969806,5673
43,0.575,2.76529592969806,4924
44,0.575,2.76529592969806,4029
45,0.575,2.76529592969806,3266
46,0.575,2.76529592969806,2631
47,0.575,2.76529592969806,2105
48,0.575,2.76529592969806,1715
49,0.575,2.76529592969806,1391
50,0.575,2.76529592969806,1128
51,0.575,2.76529592969806,920
52,0.575,2.76529592969806,743
53,0.575,2.76529592969806,623
54,0.575,2.76529592969806,508
55,0.575,2.76529592969806,415
56,0.575,2.76529592969806,341
57,0.575,2.76529592969806,262
58,0.575,2.76529592969806,219
59,0.575,2.76529592969806,184
60,0.575,2.76529592969806,141
61,0.575,2.76529592969806,107
62,0.575,2.76529592969806,86
63,0.575,2.76529592969806,75
64,0.575,2.76529592969806,60
65,0.575,2.76529592969806,50
66,0.575,2.76529592969806,42
67,0.575,2.76529592969806,31
68,0.575,2.76529592969806,25
69,0.575,2.76529592969806,19
70,0.575,2.76529592969806,16
71,0.575,2.76529592969806,13
72,0.575,2.76529592969806,10
73,0.575,2.76529592969806,8
74,0.575,2.76529592969806,8
75,0.575,2.76529592969806,7
76,0.575,2.76529592969806,5
77,0.575,2.76529592969806,2
78,0.575,2.76529592969806,2
79,0.575,2.76529592969806,2
80,0.575,2.76529592969806,2
81,0.575,2.76529592969806,2
82,0.575,2.76529592969806,1
83,0.575,2.76529592969806,1
84,0.575,2.76529592969806,1
85,0.575,2.76529592969806,1
86,0.575,2.76529592969806,1
87,0.575,2.76529592969806,1
88,0.575,2.76529592969806,1
89,0.575,2.76529592969806,1
90,0.575,2.76529592969806,1
91,0.575,2.76529592969806,1
92,0.575,2.76529592969806,1
93,0.575,2.76529592969806,1
94,0.575,2.76529592969806,1
95,0.575,2.76529592969806,1
96,0.575,2.76529592969806,1
1,0.575,3.76529592969806,1
2,0.575,3.76529592969806,1
3,0.575,3.76529592969806,1
4,0.575,3.76529592969806,1
5,0.575,3.76529592969806,1
6,0.575,3.76529592969806,4
7,0.575,3.76529592969806,3
8,0.575,3.76529592969806,2
9,0.575,3.76529592969806,1
10,0.575,3.76529592969806,2
11,0.575,3.76529592969806,2
12,0.575,3.76529592969806,3
13,0.575,3.76529592969806,2
14,0.575,3.76529592969806,2
15,0.575,3.76529592969806,4
16,0.575,3.76529592969806,3
17,0.575,3.76529592969806,2
18,0.575,3.76529592969806,3
19,0.575,3.76529592969806,6
20,0.575,3.76529592969806,6
21,0.575,3.76529592969806,8
22,0.575,3.76529592969806,11
23,0.575,3.76529592969806,11
24,0.575,3.76529592969806,14
25,0.575,3.76529592969806,16
26,0.575,3.76529592969806,23
27,0.575,3.76529592969806,27
28,0.575,3.76529592969806,38
29,0.575,3.76529592969806,49
30,0.575,3.76529592969806,62
31,0.575,3.76529592969806,76
32,0.575,3.76529592969806,106
33,0.575,3.76529592969806,154
34,0.575,3.76529592969806,238
35,0.575,3.76529592969806,359
36,0.575,3.76529592969806,567
37,0.575,3.76529592969806,905
38,0.575,3.76529592969806,1516
39,0.575,3.76529592969806,2557
40,0.575,3.76529592969806,3903
41,0.575,3.76529592969806,5233
42,0.575,3.76529592969806,5644
43,0.575,3.76529592969806,5032
44,0.575,3.76529592969806,4120
45,0.575,3.76529592969806,3314
46,0.575,3.76529592969806,2684
47,0.575,3.76529592969806,2176
48,0.575,3.76529592969806,1728
49,0.575,3.76529592969806,1433
50,0.575,3.76529592969806,1170
51,0.575,3.76529592969806,944
52,0.575,3.76529592969806,767
53,0.575,3.76529592969806,601
54,0.575,3.76529592969806,515
55,0.575,3.76529592969806,421
56,0.575,3.76529592969806,337
57,0.575,3.76529592969806,279
58,0.575,3.76529592969806,232
59,0.575,3.76529592969806,194
60,0.575,3.76529592969806,162
61,0.575,3.76529592969806,131
62,0.575,3.76529592969806,104
63,0.575,3.76529592969806,85
64,0.575,3.76529592969806,69
65,0.575,3.76529592969806,57
66,0.575,3.76529592969806,45
67,0.575,3.76529592969806,37
68,0.575,3.76529592969806,29
69,0.575,3.76529592969806,26
70,0.575,3.76529592969806,24
71,0.575,3.76529592969806,19
72,0.575,3.76529592969806,15
73,0.575,3.76529592969806,11
74,0.575,3.76529592969806,10
75,0.575,3.76529592969806,9
76,0.575,3.76529592969806,7
77,0.575,3.76529592969806,6
78,0.575,3.76529592969806,6
79,0.575,3.76529592969806,4
80,0.575,3.76529592969806,3
81,0.575,3.76529592969806,3
82,0.575,3.76529592969806,3
83,0.575,3.76529592969806,3
84,0.575,3.76529592969806,3
85,0.575,3.76529592969806,2
86,0.575,3.76529592969806,1
87,0.575,3.76529592969806,1
88,0.575,3.76529592969806,1
89,0.575,3.76529592969806,1
90,0.575,3.76529592969806,1
91,0.575,3.76529592969806,1
92,0.575,3.76529592969806,1
93,0.575,3.76529592969806,1
94,0.575,3.76529592969806,1
95,0.575,3.76529592969806,1
96,0.575,3.76529592969806,1
